Nhận xét,Cảm xúc
đỡ mất thời gian,tốt
thuận tiện trong việc học,tốt
linh hoạt được thời gian tham gia lớp học,tốt
"Mạng ổn , dễ tiếp thu",tốt
Cân bằng việc học và ăn sáng,tốt
học được nhiều kiến thức,tốt
"Nhanh, tiện",tốt
Thời gian linh động. Tham gia lớp học nhanh chóng,tốt
vui,tốt
Tự do hơn,tốt
Không mất thời gian di chuyển,tốt
không sợ đi học trễ ,tốt
Không có,không liên quan
Năng lực tự học và sự tập trung,tốt
Thoải mái ,tốt
vào học đúng giờ,tốt
Nhanh chóng,tốt
hõ bất cứ chỗ nào,tốt
ko,không liên quan
Gioè,không liên quan
Dễ dàng theo dõi bài giảng,tốt
"thầy dễ giao bài tập, dễ hiểu",tốt
Không có,rất tệ
tự học cao ,tốt
thiết bị sử dụng trực tuyến ,tốt
Dễ ứng dụng các công cụ công nghệ.,tốt
tiết kiệm được thời gian đi học,tốt
Không có ý kiến,không liên quan
tốt,tốt
Thuận tiện,tốt
Dễ dàng trong việc phân bố thời gian,tốt
dễ tiếp thu,tốt
Thoải mái về thời gian,tốt
"Không cần đi xa, thoải mái, tập trung hơn ",tốt
Dễ xem lại bài giảng,tốt
"Không cần di chuyển tời,tiết kiệm thời gian và tiền bạc",tốt
"Không cần di chuyển nhiều , tiết kiệm thời gian.",tốt
Học kịp giờ,tốt
"Tránh được covid 19, an toàn",tốt
Học được tính kiên nhẫn,tốt
Thuận tiện,tốt
không có,không liên quan
không di chuyển,tốt
Trực tiếp đặt câu hỏi với giảng viên nhanh nhất,tốt
khong co,không liên quan
"Có thể tự tin phát biểu, nếu ý kiến",tốt
Không phải đi xa,tốt
Không có,không liên quan
quản lý thời gian,tốt
tiết kiệm thời gian đi lại,tốt
Không gian học khá thoải mái,tốt
khong,không liên quan
dễ dàng trao đổi thông tin với giảng viên,tốt
thời gian thuận tiện,tốt
tiết kiệm chi phí,tốt
Có nhiều hình ảnh và video xem,tốt
Thời gian,tốt
Thời gian chủ động,tốt
Điểm ổn,tốt
Chủ động tg,tốt
Tiết kiệm thời gian hơn nhưng vẫn lĩnh hội đầy đủ kiến thức,tốt
dễ tìm hiểu ví dụ về môn,tốt
.,không liên quan
Không di chuyển,tốt
không có,không liên quan
 ....,không liên quan
tránh được dịch bệnh,tốt
"Không phải mất thời gian đến trường như trước nữa,chủ động và có trách nhiệm trong việc học hơn,có nhiều thời gian chuẩn bị cho việc học tốt hơn,làm việc nhóm tích cực và mọi người hỗ trợ nhau tốt hơn khi học trực tiếp.",rất tốt
Không ,không liên quan
không cần di chuyển,tốt
Kỹ năng sử dụng công nghệ để học tập trực tuyến; ...),tốt
Nâng cao khả năng tự học ,tốt
Coi lại bài giảng,tốt
Rèn luyện được năng lực tự học và tập trung ,tốt
Không có,không liên quan
Tiện lợi,tốt
"Học dễ dàng, có thể hỏi trực tiếp giáo viên những thứ mình không hiểu mà không sợ bị ngại",tốt
"Dễ tìm kiếm tài liệu, môi trường thoải mái",tốt
Có thời gian ôn bài,tốt
Thoải mái,tốt
được tương tác với giáo viên nhiêu hơn,tốt
không,không liên quan
giúp e tiếp xúc với công nghệ nhiều hơn,tốt
Chủ động về địa điểm,tốt
quá trình thi diễn ra không tao nhiều áp lực và đề mở cũng dễ hơn,tốt
dễ tiếp thu,tốt
chủ động thời gian,tốt
Học tại nhà thi tại nhà,tốt
không cần đến trường ,tốt
Không có,tốt
Thầy vui ,tốt
tự học,tốt
không,không liên quan
Yên tĩnh,tốt
"mang tốt, có thời gian học hợp lý",tốt
giảm thiểu thời gian di chuyển,tốt
Thoải mái tương tác,tốt
tiếp thu bài tốt,tốt
Đỡ tốn xăng,tốt
Không,không liên quan
thời gian,tốt
"tiện lợi, không tốn công sức đi đến trường, có thể học bất cứ đâu.",tốt
da quen hoc truc tuyen,tốt
dễ tiếp thu,tốt
"dễ dàng trao đổi với giảng viên, không vào lớp muộn",tốt
Khá hiểu bài ,tốt
không,không liên quan
Khong co ,không liên quan
tự giác,tốt
Có thể kham khảo trên Internet,tốt
đỡ mệt đường xa,tốt
ok,bình thường
rất tệ,không liên quan
"tiện lợi, quản lí thời gian ổn hơn",tốt
quản lý thời gian,tốt
tiết kiệm thời gian ,tốt
không,không liên quan
đỡ tốn thời gian đi lại,tốt
Tiết kiệm thời gian ,tốt
Khả năng tập trung cao hơn,tốt
ít tiếp xúc covid,tốt
"dễ dàng tham gia lớp học đúng giờ, kiểm soát được thời gian chi phí đi lại. ",tốt
Thoải mái,tốt
Dễ nghe,tốt
Tiết kiệm chi phí đi lại,tốt
đủ thiết bị ,tốt
"năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
Tự chủ được thời gian.,tốt
Thoải mái mái thời gian trước khi vào lớp,tốt
hạn chế di chuyển,tốt
dễ dàng,tốt
Yên tĩnh tập trung,tốt
K phải đi xa ,tốt
Tiện lợi việc đi lại,tốt
thời gian,tốt
Nghe dễ hiểu hơn,tốt
không có,không liên quan
không gian thoải mái,tốt
đường truyền ổn định,tốt
không tốn thời gian di chuyển,tốt
"Em có thể thoải mái tham gia các lớp học ở bất cứ nơi đâu với khung thời gian linh hoạt, các slide bài giảng của thầy cô em có thể lưu lại, qua đó cũng giúp việc ôn tập kiến thức trở nên thuận tiện hơn ạ.",rất tốt
Không gò bó thời gian,tốt
!,không liên quan
Đầy đủ thiết bị học tập,tốt
an toàn sức khỏe trong mùa dịch,tốt
"Hiểu bài, tập trung hơn",tốt
không ,không liên quan
Thời gian học phù hợp ,tốt
Tiết kiệm thời gian đi lại,tốt
Tránh dịch,tốt
"Tiết kiệm thời gian , không gặp khó khăn về di chuyển",tốt
"Theo sát bài, ghi chép đầy đủ",tốt
quản lý thời gian,tốt
Hông phải đi chuyển ,tốt
Không,không liên quan
Thoải mái hơn,tốt
K có,không liên quan
thuận lợi trong việc sắp xếp thời gian học tập hợp lý,tốt
chủ động được thời gian học tập,tốt
"Được thầy cô hỗ trợ, giải đáp thắc mắc nhanh, phát triển được kỹ năng sử dụng thiết bị máy tính.",rất tốt
được ở nhà thoải mái,tốt
ko,không liên quan
kỹ năng sử dụng công nghệ để học trực tuyến ,tốt
Dạ không có,không liên quan
Ỏn định,tốt
Giúp học tập và rèn luyện kỹ năng mềm và học hỏi nhanh,tốt
đi học đúng giờ,tốt
"Thoải mái, không đi xa không nắng cháy bỏng thiêu đốt làn da. ",tốt
"quản lý thời gian tốt, năng lực tự học tốt",tốt
Đỡ phải đi lại,tốt
không,không liên quan
Tiết kiệm thời gian đi lại,tốt
Nhiều,không liên quan
K tiếp xúc với quá nhiều người,tốt
rất tốt,rất tốt
không,không liên quan
Giờ giấc thoải mái,tốt
Janan,không liên quan
điều khiển được thời gian,tốt
Không nhiều,bình thường 
de hoc tap,tốt
"tiết kiệm thời gian đến trường , hầu như mọi người đều đông đủ học đúng giờ",tốt
Thoải mái về không gian,tốt
khá thoải mái,tốt
Cũng bình thường ,bình thường
ko co,không liên quan
Đường truyền internet khá ổn định,tốt
không cần phải đến trường,tốt
Tránh được dịch bệnh,tốt
Không cần di chuyển ngoài đường,tốt
Giảng viên nhiệt tình,tốt
Có video xem lại,tốt
"Đầy đủ thiết bị học tập, kĩ năng quản lí thời gian tốt,..",tốt
dễ phát biểu,tốt
Đầy đủ thiết bị học tập,tốt
không có ,không liên quan
Dễ hiểu ,tốt
Tập trung học ,tốt
Học ở nhà dễ ,tốt
nhiều thời gian rảnh,tốt
Dù học onl rất khó tập trung nhưng giảng viên tương tác với sinh viên rất tốt không để sinh viên dễ sao lãng vào việc khác,rất tốt
Không phải di chuyển nhiều trong lúc dịch bệnh căng thẳng,tốt
"Dễ dàng quản lí thời gian,",tốt
"Nghe rõ và nắm rõ được những gì giảng viên dạy, dễ tập trung học hơn",tốt
Gv chu đáo,tốt
Bài học hấp dẫn,tốt
Có thể tham khảo gg ,tốt
Rất thoải mái và sung sướng,tốt
Năng lực tập trung cao độ,tốt
Không mất quá nhiều thời gian đi lại,tốt
Dễ hiểu bài,tốt
Không hiểu có thể nhờ thầy chỉ lại phần đấy cho,tốt
giáo viên giảng dạy tận tình,tốt
tránh được dịch bệnh.,tốt
không sợ muộn giờ ,tốt
Có thể học tại nhà,tốt
Thoải mái thời gian địa điểm học,tốt
Tiết kiệm thời gian di chuyển,tốt
Giảng viên nhiệt tình,tốt
Chủ động được thời gian ,tốt
Di chuyển,tốt
đi học đúng giờ quản lý tốt thời gian,tốt
"Vô lớp đúng giờ hơn, tham gia lớp học đầy đủ ",tốt
Không phải đến trường,tốt
Nâng cao tinh thần tự học,tốt
Không ,không liên quan
đúng h,tốt
/,không liên quan
Tiết kiệm thời gian và sức lực,tốt
"Đảm bảo an toàn sức khỏe, nhưng vẫn nắm được bài ",tốt
Ko có,rất tệ
"Tiện lợi, được học tại nhà",tốt
Dễ học,tốt
Không,không liên quan
áp ứng của giảng viên;,không liên quan
Kh vô lớp trễ như học trực tiếp,tốt
KHÔNG,không liên quan
Dễ quản lý thời gian,tốt
thoải mái giờ giấc,tốt
Không trễ học,tốt
Ok,bình thường
quản lý thời gian,tốt
Không cần di chuyển xa ,tốt
thuận tiện,tốt
Tiện lợi khi ở nhà,tốt
không ý kiến,không liên quan
quản lý đc thời gian ,tốt
Không ý kiến ,không liên quan
record bài học,tốt
Không đi trễ,tốt
Thời gian linh hoạt,tốt
Tiện ,tốt
Không cần đến trường,tốt
Hạn chế tiếng ồn,tốt
không mất thời gian đến trường,tốt
bình thường,bình thường
Tập trung hơn trong học tập,tốt
không tốn chi phí đi lại,tốt
"quản lý thời gian,",tốt
Không,không liên quan
ở nhà thoải mãi,tốt
Có thể thay đổi nơi học,tốt
dể hiểu,tốt
không,không liên quan
"Giáo viên tận tình hướng dẫn, tiếp thu kiến thức tốt dễ lưu trữ bài học",tốt
.,không liên quan
k có,không liên quan
Đi lại,tốt
Không phải chạy xe đến trường ,tốt
bình thường,bình thường
"an toàn , tiện lợi ",tốt
Dễ dàng thu xếp cho việc học,tốt
Hạn chế tiếp xúc mùa dịch ,tốt
Tiện lợi,tốt
môi trường học tập thoải mái,tốt
Tại nhà,tốt
Không di chuyển nhiều,tốt
quản lý thời gian,tốt
lưu bài ,tốt
Di chuyển dễ dàng,tốt
Không ,không liên quan
Tất cả đều thuận lợi,tốt
Không gian,tốt
thoải mái,tốt
năng lực tự học,tốt
không phải di chuyển,tốt
không đi lại,tốt
bình thường,bình thường
Em ko có ý kiến,bình thường
được ở nhà,tốt
Tránh tiếp xúc nhiều người trong mùa dịch,tốt
Quay lại vững kiến thức,tốt
Không mất thời gian đi lại,tốt
tiện lợi,tốt
không ccó,không liên quan
bình thường,tốt
Dễ tiếp thu,tốt
Phòng tránh dịch bệnh Covid,tốt
không đi trễ,tốt
Giao diện chương trình học ,tốt
Dễ hiểu,tốt
không mất thời gian di chuyển,tốt
Tiện lợi,tốt
ko,không liên quan
không cần điểm danh,tốt
Tiết kiệm tg,tốt
Học tại nhà,tốt
Không cần đi lại,tốt
đáp ứng nhu cầu học tập,tốt
Tránh dịch,tốt
Kiểm soát dịch bệnh,tốt
không ý kiến,không liên quan
chủ động được thời gian,tốt
không,không liên quan
không bị đi học muộn,tốt
hạn chế ra tiếp xúc nhiều người trong đại dịch,tốt
rất tệ,rất tệ
đáp ứng của giảng viên,tốt
Làm chủ được thời gian,tốt
Thuận tiện đi lại,tốt
s,không liên quan
thời gian học tập,tốt
k,không liên quan
Không phải di chuyển trong thời điểm dịch bệnh diễn biến phức tạp,tốt
Môi trường học tập thoải mái,tốt
bình thường ,bình thường
oke,bình thường
thường xuyên học hơn,tốt
Tham khảo nhiều tài liệu ,tốt
khong có ,không liên quan
Ko có,không liên quan
deadline không cần phải in ra ,tốt
quản lý thời gian học hiệu quả,tốt
Ok,bình thường
nhanh,tốt
Không cần đến trường.,tốt
Thời gian,tốt
Lưu lại bài giảng bằng phím tắt nhanh chóng và thuận tiện. ,tốt
Học bất cứ nơi nào,tốt
Không phải đi xa tới trường ,tốt
thuận tiện,tốt
Có thể trao đổi với giảng viên,tốt
đường truyền ổn định,tốt
không phải lên trường ,tốt
dễ dàng kiếm thông tin,tốt
tốt,tốt
at,không liên quan
Không ,không liên quan
Học trực tuyến tập trung cao hơn,tốt
"tiết kiệm xăng,tiền trọ,thời gian đi lại",tốt
dễ tiếp thu,tốt
"dễ tiếp thu bài hơn, sinh viên có thể thấy rõ được màn hình chiếu của giảng viên thuận lợi cho việc hiểu bài và ghi chép",tốt
KHÔNG CÓ,không liên quan
Không có ,không liên quan
..,không liên quan
Dễ học,tốt
Quản lý được thời gian,tốt
Không,không liên quan
Không,không liên quan
không tốn thời gian ,tốt
Không,không liên quan
cô hỗ trợ rất nhiệt tình,tốt
không ,không liên quan
nhanh dễ dàng,tốt
"Nhanh gọn lẹ, không tốn nhiều thời gian đi chuyển",tốt
ok,bình thường
tiết kiệm thời gian,tốt
Không có,không liên quan
Đỡ kẹt xe,tốt
"Tham gia lớp học nhanh, tập trung nghe giảng hơn, thuận lợi cho việc học tập",rất tốt
"tự tin xung phong phát biểu, giáo viên ít tạo áp lực ",tốt
"đúng giờ học, ko bị mất quá nhiều thời gian ",tốt
Tiện lợi,tốt
Thời gian,tốt
dễ phát biểu,tốt
Khoẻ,tốt
Tiết kiệm chi phí ăn uống tại nhà,tốt
khong di ra ngoai,tốt
Không cần phải di chuyển,tốt
Thi điểm ổn hơn thi off,tốt
nhanh tiện lợi,tốt
Được tra cứu tài liệu trên mạng ,tốt
Không phải đi xa,tốt
không phải di chuyển,tốt
Không di chuyển xa,tốt
ok,bình thường
Học được mọi nơi,tốt
Thoai mai,tốt
Không kệt xe,tốt
Kẹt xe,tốt
Cô giảng và cung cấp nhiều tài liệu hay,tốt
không,không liên quan
Không,không liên quan
"yên tĩnh, de tập trung",tốt
Không có,không liên quan
"đường truyền internet ổn định , thiết bị sử dụng tốt ",tốt
không có,không liên quan
Biết thêm kỹ năng công nghệ,tốt
Không tốn thời gian để đến trường,tốt
tiện lợi,tốt
tiết kiệm thời gian và các khoản chi phí khác,tốt
đường truyền internet,tốt
Không,tốt
Không bị trễ học,tốt
tựn chủ được thời gian,tốt
Dễ phát biểu tham gia lớp học ,tốt
không có,không liên quan
không có,không liên quan
không,không liên quan
Tốn ít thời gian,tốt
"yên tĩnh, tâm trung",tốt
Tiết kiệm được thời gian học offline tiếp thu được kiến thức,tốt
.,không liên quan
Có thể vừa làm vừa học,tốt
Không mất thời gian đi lại,tốt
"Giảng viên dạy rất hay và trách nhiệm với sinh viên, giao diện chương trình học bắt mắt",rất tốt
khong co,không liên quan
chủ động được thời gian,tốt
kh ạ,không liên quan
Đỡ di chuyển xa,tốt
Ok,bình thường
không phải lên tới trường,tốt
Học tại nhà,tốt
đều tốt,tốt
Dễ dàng tiếp thu kiến thức,tốt
không có gì ý kiến,không liên quan
"TIẾT KIỆM THỜI GIAN, TIỀN BẠC.",tốt
bình thường ạ,bình thường
bình thường,bình thường
an toàn ,tốt
Không ,không liên quan
học được ở nhiều nơi,tốt
Có thể chủ động hơn trong giờ học và bài tập ,tốt
không phải di chuyển,tốt
chủ động được thời gian ,tốt
"năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
Không có,không liên quan
"Giáo viên tận tâm, liên hệ lý thuyết với thực tiễn hiệu quả, nhiệt tình trao đổi kiến thức với sinh viên, tạo môi trường học tập thoải mái",rất tốt
Không ,không liên quan
Không,không liên quan
dễ dàng trao đổi với giảng viên,tốt
Tiết kiệm chi phí đi lại,tốt
Kỹ năng sử dụng công nghệ để học tappj trực tuyến,tốt
" tiện lợi, không cần dậy sớm đi đến trường",tốt
Quản lí được thời gian,tốt
học mọi lúc mọi nơi,tốt
tiện nghi,tốt
no cmt ,không liên quan
tiết kiệm thời gian,tốt
không mất thời gian di chuyển,tốt
ở nhà,tốt
Tiết kiệm thời gian di chuyển đến trường,tốt
Co laptop,tốt
Tiện lợi,tốt
Tránh dịch tốt khi học tại nhà,tốt
k có,tốt
Không,rất tệ
mọi lúc mọi nơi,tốt
O,không liên quan
Không,không liên quan
Không tốn kém thời gian đi lại,tốt
Không phải di chuyển qua các cơ sở ,tốt
không,không liên quan
quan ly tg,tốt
Không ,không liên quan
tốt,tốt
An toàn tiết kiệm ,tốt
k,không liên quan
Thoải mái,tốt
Không phải dậy sớm,tốt
.,không liên quan
Không phải di chuyển nhiều,tốt
tiết kiệm,tốt
không,không liên quan
Điểm cao,tốt
Có thời gian tìm hiểu kĩ bài ,tốt
không mất thời gian di chuyển,tốt
Không gian thoải mái ,tốt
"Tiện lợi , chủ động hơn",tốt
"năng lực tự học của bản thân như sự tập trung, quản lý thời gian",tốt
rất tệ,rất tệ
Thời gian,không liên quan
Không sợ bị trễ giờ học,tốt
tốt!,tốt
           ,không liên quan
Quản lí thời gian tốt,tốt
Không,không liên quan
Tự quản lý thời gian,tốt
ok,bình thường
Không gian thoải mái,tốt
Tiết kiệm thời gian,tốt
chủ động được tg,tốt
O nha,không liên quan
k,không liên quan
An toàn,tốt
.,không liên quan
Dễ sắp xếp thời gian,tốt
Thời gian khoảng cách,tốt
k,không liên quan
tiện lợi ,tốt
"Dễ dàng học, không mất công sức lên tận trường",tốt
không,không liên quan
Không có,không liên quan
Không mất tg di chuyển,tốt
"cải thiện sự tập trung, điểm số",tốt
ở nhà,rất tệ
không có,không liên quan
Ít tốn kém cho việc đi lại,tốt
không có,không liên quan
Không tốn công đi lại,tốt
không có,không liên quan
"tiện, không mất thời gian di chuyển đến lớp",tốt
"thời gian, phương pháp học tập",tốt
dễ di chuyển,tốt
Môn học dễ hiểu,tốt
"Tiết kiêm được nhiều thời gian, chi phí khác",tốt
Tiết kiệm thời gian di chuyển ,tốt
Không phải tập trung đông đúc. Tiết kiệm thời gian di chuyển. An toàn cho sức khoẻ của bạn thân và gia đình,rất tốt
Tiết kiệm đc 1 chút tgian,tốt
Không mất thời gian di chuyển,tốt
"Không phải đợi thang máy , tránh dịch lây lan",tốt
Ít di chuyển,tốt
Cải thiện tính chuyên cần của học sinh,tốt
hiểu bài hơn,tốt
tiết kiệm thời gian,tốt
Dễ thương tác,tốt
Khác ,không liên quan
Không tốn thời gian di chuyển ,tốt
k có ,bình thường
bt,bình thường
dễ tiếp thu bài học,tốt
Không có,không liên quan
không,không liên quan
Dễ dàng ghi chép và xem lại bài giảng ,tốt
ít tốn thừi gian,tốt
Ko tốn thian đến trường,tốt
giảng viên và sinh viên có thể trao đổi nhiều hơn ,tốt
Kiến thức dễ hiểu,tốt
tại nhà,không liên quan
thoải mái,tốt
Không có,không liên quan
Okela,bình thường
"đỡ tốn xăng, không phơi nắng phơi mưa, không kẹt xe",tốt
Không bị trễ giờ học vì kẹt xe,tốt
chưa có,không liên quan
ko ,không liên quan
"tiết kiệm đc tg di chuyển, không phải đi xa",tốt
không có,không liên quan
Yên tĩnh ,tốt
giảm thời gian đi lại,tốt
.,không liên quan
"tiện lợi , có thể kết nối gần xa",tốt
tập trung,tốt
Dễ dàng và đơn giản ,tốt
có thể học tập tại nhà không phải di chuyển,tốt
thời gian vào lớp thuận tiện hơn,tốt
được ở nhà,tốt
Nhận thông tin nhanh chóng,tốt
K có,không liên quan
"tiết kiệm thời gian đến lớp, tập trung hơn",tốt
Thoải mái,tốt
không,không liên quan
Dễ dàng về địa điểm cũng như thời gian,tốt
rất tệ,không liên quan
thoải mái,tốt
không phải di chuyển đến trường,tốt
Không,không liên quan
không cần di chuyển tới trường,tốt
Thoải mái,tốt
Không có ,không liên quan
.,không liên quan
"Co day nhiet tinh, de hieu.",tốt
học ở bất kì nơi nào,tốt
Không cần leo lầu được học tại nhà,tốt
Không có ,không liên quan
Tập trung và quản lý được thời gian ,tốt
không cần lên trường,tốt
tốt,tốt
Không ,không liên quan
Không,không liên quan
Internet tốt,tốt
màn hình slides nhỏ,tệ
K cần di chuyển,tốt
Nơi học thoải mái ,tốt
"không gian thoải mái, dễ tập trung vào bài học",tốt
Thuận tiện,tốt
thoải mái,tốt
"Dễ xem slide, dễ luưu trữ",tốt
Tiện lợi về mặc thời gian và di chuyển,tốt
  ,không liên quan
Ok,bình thường
Không kẹt xe khi đến trường,tốt
đi lại,tốt
"Thuận lợi trong di chuyển, thoải mái,tiện lợi",tốt
ok,bình thường
Hiểu bài giảng,không liên quan
không có ,tốt
Hạn chế được dịch bệnh,tốt
Dạ tiết kiệm được thời gian đi lại ạ,tốt
không di chuyển ,tốt
Học ,tốt
quản lí được thời gian,tốt
Tiết kiệm thgian đi lại . Tiết kiệm chi phí cá nhân .  Tự do trao đổi với giáo viên . Không gian học thoải mái riêng tư,rất tốt
Tiết kiệm thời gian và chi phí di chuyển đến trường,tốt
hiểu về công nghệ,tốt
Dễ trao đổi vs thầy cô hơn,tốt
Tiện lợi,tốt
Có nhìu thời gian hơn,tốt
nâng cao kỹ năng sử dụng công nghệ ,tốt
Dễ tìm tài liệu phong phú,tốt
học ở nha thuận tiện hơn,tốt
"Có thể học tại nhà, không tốn nhiều chi phí",tốt
.,không liên quan
Dễ hiểu,tốt
Không tiếp xúc nhiều người ,tốt
Dễ lấy điểm,tốt
"Không phải chờ thang máy, không phải gửi xe",tốt
tiện lợi,tốt
a,không liên quan
giảng viên cung cấp nhiều tài liệu,tốt
không,bình thường
tot,tốt
tập trung hơn,tốt
ko,không liên quan
Không phải đi lại,tốt
không,không liên quan
Dễ học dễ hiểu,tốt
tốt,tốt
khong,không liên quan
Không có ý kiến ,không liên quan
Quản lý thời gian dễ dàng,tốt
tiết kiêm được thời gian,tốt
"Nhanh, tiện lợi",tốt
ghi chép dễ dàng hơn,tốt
Tiết kiệm thời gian,tốt
"Nhanh, không kẹt xe",tốt
thỏa mái,tốt
"Không mất thời gian đến lớp,kẹt xe,thang máy",tốt
Tiết kiệm thơif gian,tốt
"Cô không cho ví dụ và giải, chỉ cho bài thẳng rồi bắt làm lấy điểm, sv ko thể hiểu đc",rất tệ
không,không liên quan
.,không liên quan
Thời gian linh động,tốt
thoải mái học tập,tốt
"Đi lại, covid",tốt
không có,tốt
Hiểu bài,tốt
thuận tiện,tốt
không phải đến trường mùa dịch,tốt
không có,tốt
Thuận tiện cho mọi hoạt động trong lớp học,tốt
không,không liên quan
Trách dinch bệnh,tốt
linh hoạt giờ giấc,tốt
"thuận tiện, tiết kiện thời gian di chuyển, thoải mái ",tốt
Không có,không liên quan
0,không liên quan
"thuận tiện, đảm bảo thời gian, học đúng giờ",tốt
không,không liên quan
Học trực tiếp tại nhà thuận tiện,tốt
"Có thời gian nghe giảng bài và tập chung hơn, ko ồn ào",tốt
.,không liên quan
Mất ít thời gian khi học ở trường,tốt
"Không tốn thời gian di chuyển, thoải mái hơn ở lớp",tốt
K cần di chuyển liên tục,tốt
Biết được nhiều thứ,tốt
Không bị kẹt xe,tốt
Không,không liên quan
rất tệ,không liên quan
Tiết kiệm thời gian. Có thể học được bất cứ đâu,tốt
bình thường,bình thường
Mạng ổn định,tốt
Năng lực tự học của bản thân tốt hơn,tốt
Dễ tương tác,tốt
"Tiết kiệm chi phí đi lại, ít tốn thời gian vào lớp",tốt
"Dễ tiếp cận giảng viên hơn, hiểu bài nhanh hơn, quá trình trao đổi tích cực",rất tốt
Không,không liên quan
Có nhiều thời gian,tốt
Không cần di chuyển qua lại các cơ sở,tốt
tiết kiệm thời gian  ,tốt
không có ý kiến ạ,bình thường 
"nâng cao khả năng tự học, quản lí tốt được thời gian, dễ dàng tương tác với lớp,..",rất tốt
không,không liên quan
Thoải mái,tốt
Tiện đi lại. K sợ covid. ,tốt
"chuyển ca học, thời gian di chuyển",tốt
Ít tốn kém về việc ăn uống và thời gian đi lại,tốt
bình thường,bình thường
"Thuận tiện cho việc sinh hoạt cá nhân, không mất thời gian đi lại",tốt
Thời gian linh hoạt,tốt
quản lý thời gian,tốt
Dễ dàng kết nối.,tốt
học đủ buổi,tốt
khong y kien,bình thường
.,không liên quan
Đỡ tốn thời gian đến trường,tốt
không phải đi đến trường,tốt
Kỹ năng sử dụng công nghệ để học trực tuyến,tốt
hầu hết đều thuận lợi,tốt
Dễ hiểu ,tốt
Tiết kiệm thời gian di chuyển,tốt
"Thoải mái hơn, tự do hơn",tốt
no,không liên quan
Nâng cao kỹ năng sử dụng công nghệ ,tốt
Thuận lợi,tốt
ko,không liên quan
Không có,không liên quan
tiết kiệm thời gian,tốt
"có thể ở nhà thỏ mái ăn uống, không phải di chuyển xa.",tốt
Tiện giờ,tốt
Thuận tiện di chuyển,tốt
Thoải mái,tốt
Thời gian và không gian học thoải mái,tốt
"nắm bài kĩ hơn, tương tác với giáo viên tốt hơn",tốt
Không phải di chuyển,tốt
Không thấy thuận lợi gì mấy ,tệ
sự tập trung,tốt
.,không liên quan
có đủ thiết bị đáp ứng nhu cầu học,tốt
"không tốn chi phí di chuyển, sử dụng wifi để nghien cuu bài",tốt
Ko,không liên quan
tiết kiệm thời gian,tốt
không phải di chuyển,tốt
không,không liên quan
tiếp thu được bài,tốt
thoai mai,tốt
hạn chế tiếp xúc người khác đỡ nhiêm covid,tốt
Vẫn có thể tiếp thu được kiến thức,tốt
thoải mái thời gian,tốt
không mất nhiều thời gian đi lại,tốt
Ít tốn thời gian ,tốt
Tương tác tốt hơn,tốt
không khả dụng,tốt
Thoải mái trao đổi với giảng viên,tốt
100%,không liên quan
rất tốt,tốt
An toàn sức khỏe,tốt
Dễ dàng học tập ở mọi nơi,tốt
"Ko phải đi học xa, ở đâu cũng học được",tốt
Tiện ích,tốt
học dễ hiểu,tốt
Chủ động thời gian học,tốt
Quản lí thời gian dễ dàng,tốt
wifi mạnh,tốt
Tiết kiệm thời gian,tốt
X,không liên quan
tiếp thu bài tốt ,tốt
xem lại bài giảng dễ  ,tốt
"dễ làm việc nhóm, dễ dơ tay trả lời câu hỏi, dễ bắt chiện với thầy cô. trao đổi bài học, tham gia lớp học nhanh chóng tiện lợi",rất tốt
Tập trung,tốt
Không,không liên quan
tiết kiệm thời gian di chuyển ,tốt
thoải mái,tốt
không lo kẹt xe,tốt
An toàn,tốt
"không kẹt xe, không tham gia giao thông",tốt
"dễ tập trung, tính tự giác cao, dễ quản lí thời gian",tốt
thoải mái thời gian,tốt
Không ,không liên quan
tiết kiệm thời gian,tốt
Tiết kiệm nhiều thời gian,tốt
Tập trung,tốt
"Dễ tiếp thu, hạn chế tiếp xúc nơi đông người để phòng tránh dịch",tốt
Không,không liên quan
thoải mái hơn,tốt
Có thể ở nhà không cần di chuyển,tốt
không phải di chuyển,tốt
"có thể tự chủ về thời gian, thuận tiện trao đổi bài với bạn trong nhóm",tốt
"tham gia đúng giờ, tham khảo duoc nhiều tài liệu cùng lúc",tốt
dễ hiểu,tốt
"Vô lớp đúng giờ, tương tác với giáo viên mạnh dạn hơn",tốt
thuận tiện hơn so với học offline,tốt
Tập trung hơn,tốt
"Dễ dàng học ở nhiều địa điểm, giảng viên tạo điều kiện cho sinh viên (học bù, bổ sung ngày học,...)",rất tốt
không có,không liên quan
phương pháp học dễ hiểu,tốt
"tương tác với giảng viên được nhiều hơn, quản lý và tiết kiệm được thời gian tốt hơn",tốt
Không gian thoải mái ,tốt
chủ động được thiết bị và phương tiện để học,tốt
 Đường truyềng mạng tốt,tốt
không đi lại nhiều không gian riêng yên tĩnh,tốt
Không phải duy chuyển ,tốt
dễ dàng học tập dù ở bất cứ đâu,tốt
không có,không liên quan
"năng lực tự học của bản thân như sự tập trung,",tốt
Ko lo kẹt xe đến lớp muộn,tốt
Sắp xếp thời gian ,tốt
tiết kiệm chi phí,tốt
Tiết kiệm chi phí,tốt
Tài liệu đầy đủ,tốt
Thuận tiện,tốt
không có,không liên quan
học thoãi mái,tốt
 ,không liên quan
